78	[  1.00001461e+00   1.00003121e+00   6.13224096e-10]
121	[  1.00003557e+00   1.00007256e+00   1.46875637e-09]
51	[  9.99971218e-01   9.99945155e-01   1.56692007e-09]
111	[  9.99933505e-01   9.99871683e-01   6.60010097e-09]
40	[  9.99762059e-01   9.99516948e-01   6.18390752e-08]
101	[  1.00001960e+00   1.00004012e+00   4.68749190e-10]
113	[  9.99939831e-01   9.99869435e-01   1.40887677e-08]
108	[  9.99966587e-01   9.99942622e-01   1.00407052e-08]
75	[  9.99977057e-01   9.99951844e-01   1.04207830e-09]
45	[  9.99923772e-01   9.99845124e-01   6.39920842e-09]
44	[  9.99800601e-01   9.99586213e-01   6.23474875e-08]
48	[  9.99991418e-01   9.99983893e-01   1.85616556e-10]
106	[  1.00051970e+00   1.00099031e+00   5.13633094e-07]
81	[  1.00001693e+00   1.00003417e+00   2.96566120e-10]
83	[  9.99984149e-01   9.99981845e-01   1.86063053e-08]
46	[  1.00003077e+00   1.00006101e+00   9.76233599e-10]
97	[  9.99989841e-01   9.99975546e-01   1.81307160e-09]
74	[  1.00007118e+00   1.00014389e+00   5.29987935e-09]
100	[  9.99976657e-01   9.99956508e-01   1.56545923e-09]
95	[  1.00000228e+00   1.00001251e+00   6.32643820e-09]
118	[  9.99994664e-01   9.99984994e-01   1.90680980e-09]
73	[  9.99979666e-01   9.99960357e-01   5.18682521e-10]
71	[  1.00012746e+00   1.00024589e+00   2.44315371e-08]
64	[  9.99973823e-01   9.99949351e-01   9.75753726e-10]
146	[  1.00000609e+00   1.00001350e+00   2.11678691e-10]
158	[  1.00002114e+00   1.00004314e+00   5.22174155e-10]
87	[  9.99891540e-01   9.99776336e-01   1.63278832e-08]
103	[  9.99193206e-01   9.98431165e-01   8.45420421e-07]
124	[  9.99977131e-01   9.99944849e-01   9.38514998e-09]
96	[  1.00004746e+00   1.00009603e+00   2.37588597e-09]
--- 0.397704839706 seconds ---
